winner,white_rating,black_rating,moves
black,1500,2621,b3 Nf6 Bb2 g6 e3 Bg7 Nf3 O-O c4 c5 d4 d5 Bd3 Nc6 O-O Bg4 dxc5 dxc4 Bxc4 Qa5 h3 Rfd8 Qe2 Bxf3 Qxf3 Qxc5 Rd1 Rxd1+ Qxd1 Rd8 Qe2 Ne4 Bxg7 Kxg7 Qb2+ e5 Nc3 Nxc3 Qxc3 b5 Rc1 bxc4 bxc4 h5 Rb1 Rd7 Rb5 Rd1+ Kh2 Qd6 f4 Rd3 fxe5 Qd8 Qb2 Rd2 Qc3 Qd3 Qa1 Qe2 e6+ f6 Rg5 Qxe3 Rg3 Qxe6 Qb1 Ne5 Qb7+ Qd7 Qe4 Rd1 Qe2 Qd4 Re3 Rd2 Qe1 Rxa2 Rb3 Rb2 Rxb2 Qxb2 Qd1 Qb8 Kh1 Qc7
white,2621,1500,d4 Nf6 c4 e6 Nf3 Bb4+ Bd2 Qe7 g3 b6 Bg2 Bb7 O-O Bxd2 Nbxd2 O-O Qc2 d6 e4 c5 d5 e5 Ne1 Nfd7 Nd3 Qg5 f4 Qe7 f5 Qg5 Rae1 Nf6 Nf3 Qg4 Nf2 Qh5 h3 g5 g4 Qh6 h4 gxh4 g5 Qh5 gxf6 Nd7 Kh2 Nxf6 Qe2 Kh8 Bh3 Rg8 Rg1 Qh6 Qd2 Qh5 Qe3 Ba6 b3 b5 cxb5 Bxb5 Rxg8+ Rxg8 Rg1 Rxg1 Nxg1 a5 Nf3 h6 a4 Ba6 Nd2 Be2 Nc4 Bxc4 bxc4 Kg7 Bf1 Qg4 Be2 Qg5 Qxg5+ hxg5 Bf3 Nd7 Bd1 Nb6 Bb3 f6 Kh3 Nd7 Kg4 Kh6 Kf3 Kh5 Bd1 Kh6 Nd3 Nb6 Bb3 Kh5 Nf2 Kh6 Ng4+ Kg7 Ne3 Kf7 Kg4 Kg7 Nd1 Kf7 Kh5 Kg7 Nf2 Kh7 Kg4 Kg7 Nd1 Kf7 Nc3 Ke7 Nb5 Kd7 Na7 Na8 Nc6 Nc7 Nxa5 Na6 Nc6 Nc7 a5 Ne8 Ba4 Kc7 Na7 Ng7 Nb5+ Kb7 Nxd6+ Ka6 Nf7
white,2621,1614,d4
white,2621,1600,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Bd7 O-O-O Rc8 Bb3 Nxd4 Bxd4 b5 Kb1 b4 Bxf6 Bxf6 Nd5 e6 Nxf6+ Qxf6 Qxd6 Rfd8 Qxb4 Rb8 Qd4 e5 Qxa7 Qe7 Ba4 Bxa4 Qxe7 Re8 Qa3 Ra8 Qe3 Rec8 b3 Bb5 c4 Be8 Rd5 f6 h4 Kg7 h5 g5 g3 h6 f4 g4 fxe5 fxe5 Rxe5 Bf7 Qd4 Rd8 Rd5+ Kh7 Rxd8 Rxd8 Qxd8 Be6 Qe7+ Kh8 Qxe6 Kg7 Rd1 Kf8 Rf1+ Kg7 Rf7+ Kg8 Qe8#
black,1214,2621,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 Nxc6 bxc6 g3 Bg4 Qd3 g6 Bg2 Bg7 e5 Nd7 exd6 O-O dxe7 Qxe7+ Be3 Ne5 Qd4 Nf3+ Bxf3 Bxd4 Bxg4 Bxe3 fxe3 Qxe3+ Ne2 Rad8 Rd1 Rxd1+ Kxd1 Rd8+ Ke1 Rd2 Kf1 Rxc2 h4 Rxb2 Rh2 Rxa2 Rf2 h5 Bf3 Rc2 Kg2 a5 g4 hxg4 Bxg4 a4
black,1670,2621,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 Bb5 Bd7 O-O e6 Bg5 Be7 Re1 Rc8 Bf1 a6 Nf3 O-O a3 Qc7 Qd3 Rfd8 h3 Ne5 Nxe5 dxe5 Qe2 Bc6 Be3 Nxe4 Nxe4 Bxe4 Bb6 Qxb6 Qxe4 Rd2 Re2 Rxe2 Qxe2 Qxb2 Re1 Rxc2 Qxe5 Qxe5 Rxe5 Bc5 Re2 Rxe2 Bxe2 Bxa3 Kf1 Kf8 Ke1 Ke7 Kd2 Kd6 Kc3 b5 Bd3 Kc5 Bxh7 e5 g4 f6 f3 a5 Be4 a4 h4 b4+ Kc2 b3+ Kc3 Bb4+ Kb2 Kc4 Bf5 a3+ Kc1 a2 Be6+ Kc3
black,1670,2621,e4 c5 Nf3 d6 d4 Nf6 Nc3 cxd4 Nxd4 Nc6 Bb5 Bd7 Bg5 Rc8 O-O e6 Be2 Be7 a3 a6 Re1 O-O Qd2 Qc7 h3 Rfd8 Nf3 b5 Bd3 Ne5 Nxe5 dxe5 Qe2 Bc6 Be3 Nd7 Rf1 Bc5 Rac1 Qb6 b4 Bd4 Bxd4 Qxd4 Qe1 Bb7 Ne2 Qa7 Ng3 Nf8 Nh1 Ng6 g3 Qd4 Qe2 Qc3 Ra1 Ne7 Kg2 Nc6 Rfc1 Nd4 Qe1 Qxe1 Rxe1 Nxc2 Bxc2 Rxc2 h4 Rd4 Kg1 Bxe4 Rf1 Rdd2
black,1820,2621,e4 c5 Nf3 d6 d4 Nf6 Bb5+ Bd7 Bxd7+ Qxd7 Nc3 cxd4 Nxd4 Nc6 Be3 Ng4 O-O Nxe3 fxe3 g6 Qf3 Ne5 Qe2 Bg7 Rad1 O-O Nd5 e6 Nf6+ Bxf6 Rxf6 Kg7 Rdf1 Rac8 c3 a6 Qf2 Ng4 Rxg6+ fxg6 Nxe6+ Qxe6 Qg3 Rxf1+ Kxf1 Rf8+ Ke2 Qxe4 Qxd6 Rf2+ Kd1 Qb1#
white,2522,1802,d4 Nf6 c4 e6 Nc3 d5 e3 Be7 Nf3 O-O Be2 dxc4 Bxc4 b6 O-O Bb7 b3 Nbd7 Bb2 Ne4 Rc1 Nxc3 Bxc3 c5 a4 a6 dxc5 Nxc5 Qd4 Qxd4 Nxd4 Ne4 Bb2 Nd2 Rfd1 Bb4 Bc3 Bxc3 Rxc3 Nxc4 Rxc4 Rac8 Rdc1 Rxc4 Rxc4 Rc8 Rxc8+ Bxc8 Kf1 Bd7 Ke1 Kf8 Kd2 Ke7 Kc3 Kd6 Kc4 e5 Ne2 b5+ Kb4 bxa4 bxa4 Bc6 f3 f5 Nc3 g5 Ka5 Kc5 Kxa6 Kb4 Kb6 Ba8 Nb5 Kxa4 Nd6 e4 fxe4 fxe4 Kc5 Kb3 Kd4 Kc2 Nxe4 h6 g3 Kd1 Nd6 Ke2 Nf7 Kf3 Nxh6 Kg2 h4 gxh4 gxh4 Kh3 Nf5 Kg4 Ke5 Bc6 Ne7 Ba4 Ng6 Kh5 Nf4+ Kxh4 Kd4 Kg4 Nd3 Kf3 Ne5+ Kg3 Nd3 Kg4 Nc5
white,2621,1802,d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 h6 Bh4 O-O e3 b6 cxd5 exd5 Bd3 Bb7 O-O Nbd7 Qc2 a6 Rfd1 c5 dxc5 bxc5 Bf5 Nb6 Rac1 Qc7 Bg3 Bd6 Ne2 Bxg3 hxg3 Nbd7 Nf4 g5 Ne2 Qb6 Nc3 Bc6 Bxd7 Nxd7 Nxd5 Bxd5 Rxd5 Rfd8 Rcd1
white,2621,1802,d4 Nf6 c4 e6 Nf3 d5 Nc3 Be7 Bg5 O-O e3 h6 Bh4 b6 cxd5 exd5 Ne5 Bb7 f4 Nbd7 Bd3 a6 Qf3 c5 O-O c4 Bf5 Nxe5 dxe5 Nd7 Bxe7 Qxe7 Nxd5 Bxd5 Qxd5 Nc5 Qxc4 Rfd8 Rad1 b5 Qc2 Ne6 Rd3 Rxd3 Qxd3 Nc5 Qd6 Qxd6 exd6 Rd8 Rd1 Kf8 e4 f6 e5 fxe5 fxe5 Kf7 Kf2 g6 Bh3 Ne4+ Ke3 Nxd6 exd6 g5 Bf5 Kf6 g4 Ke5 d7 a5 h3 b4 b3 Kf6 Rd6+
white,2621,1715,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Na5 Bb5+ c6 dxc6 bxc6 Be2 h6 Nf3 e4 Ne5 Bd6 d4 O-O O-O Nh7 Nc3 c5 Be3 Qh4 g3 Qd8 Nc4 Bh3 Re1 Nxc4 Bxc4 Ng5 Be2 Qf6 Bxg5 hxg5 Nxe4 Qg6 Bh5 Qh6 Nxd6 Qe6 Rxe6
white,2621,1715,d4 Nf6 c4 g6 Nc3 d5 Bg5 dxc4 e4 Bg7 Bxc4 O-O h3 Nc6 Nf3 h6 Be3 b6 O-O Bb7 Qd2 Qd7 Bb5 a6 Ne5 Qe8 Bxc6 Bxc6 Nxc6 Qxc6 d5 Qb7 e5 Nd7 f4 Rad8 Rad1 f5 Qe2 e6 dxe6 Nb8 e7 Rxd1 exf8=Q+ Bxf8 Rxd1
black,1715,2621,e4 c5 Nf3 d6 d4 Nf6 e5 dxe5 dxe5 Qxd1+ Kxd1 Ng4 Bc4 Nxf2+ Ke2 Nxh1 Be3
black,1715,2621,e4 c5 Nf3 d6 d4 Nf6 e5 dxe5 Nxe5 Qxd4 Qxd4 cxd4 Bb5+ Nbd7 Bxd7+ Nxd7 Nf3 e5 b3 Bb4+ Nbd2 f6 O-O Nb6 a3 Be7 Ne4 Bf5 Re1 Rc8 Ra2 Kf7 b4 Rc7 Re2 Rhc8 Ne1 Nd5 Bd2 Be6 Ra1 h6 f3 f5 Ng3 Ne3 Bxe3 dxe3 h3 f4 Ne4 Bc4 Nd3 Bxd3 cxd3 Rc1+ Rxc1 Rxc1+ Kh2 g5 g3 h5 g4 hxg4 hxg4 Rd1 Ra2 Rxd3 Kg2 Ke6 Kf1 b6 Ke2 Rd8 Rc2 Kd7 Kd3 Ke6+ Ke2 a5 bxa5 bxa5 a4 Rd4 Ra2 Kd5 Rc2 Rxe4 fxe4+ Kxe4 Rc4+ Kd5 Rc7 Bc5 Rd7+ Ke4 Rd8 f3+ Ke1 Bb4+ Kd1 e2+ Kc2 e1=Q
white,2621,1384,d4
black,1384,2621,f3 e5 g3 d5 Bg2 Nf6 b3 Be7 Na3 O-O Bb2 Nc6 Bc3 Bxa3 Ba5 Nxa5 Bh3 Bc5 a4 Bxg1 Rxg1 Bxh3
white,2700,1486,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5 Ng3 Bg6 N1e2 Nf6 Nf4 e6 h4 h5 Nxg6 fxg6 Bd3 Qxd4
black,1433,2621,e4 c5 Nf3 d6 d4 Nf6 e5 dxe5 dxe5 Qxd1+ Kxd1 Ng4 Ke1 Nc6 Bf4 g5 Bg3 Bg7 Be2 Ngxe5 Bxe5 Nxe5 Nxg5 Ng6 Bb5+ Kf8 Nc3 Bxc3+ bxc3 Kg7 Bc4 e6 Rb1 b6 f3 Bb7 Bd3 Rhd8 Kf2 Rd7 Rhd1 Rad8 Ke2 h6 Nh3 Ne5 Be4 Bxe4 fxe4 Rxd1 Rxd1 Rxd1 Kxd1 Ng4 Nf4 Nxh2 Nh5+ Kg6 Nf4+ Kg5 Nh3+ Kg4 Nf2+ Kg3 Nh1+ Kxg2 Ng3 Kxg3
white,2621,1449,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 Nc3 O-O O-O d6 h3 h6 Be3 Bxe3 fxe3 Be6 Bb3 a6 Qe1 Qd7 Nh4 b5 Nf5 Nb4 Nxh6+ gxh6 Rxf6 Bxb3 Rxh6 Nxc2 Qg3+ Qg4 Qxg4#
white,2549,1425,e4 c6 c4 d5 exd5 cxd5 cxd5 Nf6 Qa4+ Bd7 Qb3 e6 Qxb7
white,2621,1425,e4 c6 d4 d5 Nd2 e5 dxe5 dxe4 Qe2 Qd4 Qxe4 Qxe4+ Nxe4 Be6 Nf3 Nd7 Bf4 f6 O-O-O Bxa2 Nd6+ Bxd6 exd6 Bd5 Nd4 O-O-O c4 Be4 b4 Nb6 f3 Bg6 g3 Bf7 Bh3+ Kb8 d7+ Ka8 Bc7 Rxd7 Bxb6 Re7 Bc5 Re5 Nxc6 bxc6 Rd8+ Kb7 Rhd1 Bxc4 Bc8+ Kb8 Ba6+ Kc7 R1d7#
white,2621,1324,d4
white,2621,1626,e4 c5 Nf3 Nc6 d4 e6 d5 exd5 exd5 Qe7+ Be2 Ne5 O-O d6 Re1 Qc7 Bb5+ Bd7 Bxd7+ Qxd7 Nxe5 dxe5 Rxe5+ Be7 d6 Nf6 Rxe7+ Kd8 Rxd7+ Kxd7 Nc3 Rhe8 Bg5 Re6 Bxf6 Rxf6 Qg4+ Kxd6 Rd1+ Kc6 Qd7+ Kb6 Qb5+ Kc7 Rd7+
white,2524,1640,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 Bd6 Qxg7 Qf6 Qxf6 Nxf6 Bd3 Be5 f4 Bd4 Nc3 d6 Bd2 Bg4 h3 Bxc3 Bxc3 Bh5 g4 Bg6 Bxf6 Rf8 f5 Bxf5 exf5 d5 O-O-O c5 Rhe1+ Kd7 Bb5+ Kc7 Rxd5 Rae8 Bxe8 Rxe8 Rxe8 Kc6 Red8 Kc7 R8d6 Kc8 Rd7 Kb8 Rxf7 Kc8 Rd8#
white,2579,2036,Nf3 Nf6 g3 g6 b3 Bg7 Bb2 O-O Bg2 c5 O-O Nc6 d4 cxd4 Nxd4 Qb6 e3 d6 Nc3 Bg4 Qd2 Rac8 Na4 Qd8 c4 a6 Nxc6 bxc6 c5 d5 Nb6 Rb8 Be5 Rb7 Qd4 Ne8 Bxg7 Nxg7 Qxg4
black,2037,2577,e4 c6 Nc3 d5 Nf3 Bg4 h3 Bh5 g4 Bg6 exd5 cxd5 Bb5+ Nc6 d4 e6 Ne5 Rc8 a3 Bd6 Bf4 Ne7 Nxg6 Nxg6 Bxd6 Qxd6 Qd2 O-O O-O-O Na5 Kb1 Nc4 Bxc4 Rxc4 b3 Rc6 Nb5 Qb8 h4 a6 h5 Nf4 Nc3 Rfc8
white,2574,2039,Nf3 c5 g3 Nc6 d4 cxd4 Nxd4 g6 Bg2 Bg7 Nxc6 bxc6 O-O Nf6 Nd2 d5 c4 O-O Nb3 Ba6 cxd5 cxd5 Nc5 Bc8 Be3 Rb8 b3 Nd7 Rc1 Re8 Qxd5 Nxc5 Qxc5
black,2040,2571,e4 c6 Nc3 d5 Nf3 Bg4 h3 Bh5 g4 Bg6 exd5 cxd5 Bb5+ Nc6 d4 e6 Ne5 Rc8 Nxg6 hxg6 Bf4 Bb4 Qd3 Ne7 a3 Bd6 Ne2 Bxf4 Nxf4 Qd6 Qe3 a6 Bd3 Nxd4 Nxg6 Nxg6 Qxd4 e5 Qe3 Nf4 O-O-O O-O h4 Rc6 h5 Rfc8 Rd2 Qc5 Qxc5 Rxc5 Bf5 R8c7 g5 e4 g6 Rb5 Kb1 Re7 Rh4 Ne6 gxf7+ Kxf7 Bg6+ Kf6 Rh3 Nf4 Rg3 Re5 b3 Rc5 Rd1 Nxh5 Bxh5 Rxh5 Rdg1 g5 Kb2 d4 b4 Rf5 Rg4 Rf4 Rxf4+ gxf4 Rg8 e3 Rf8+ Kg5 fxe3 dxe3 Rg8+ Kh4
white,2613,1904,d4 e6 c4 d5 Nc3 Nf6 Bg5 Be7 e3 h6 Bh4 Nbd7 Nf3 c5 cxd5 exd5 dxc5 Nxc5 Bb5+ Bd7 Bxf6 Bxf6 Qxd5 Bxb5 Qxc5 Bc6 Rd1 Qb6 Qa3 Bxc3+ Qxc3 O-O O-O Bxf3 gxf3 Qg6+ Kh1 Qf5 e4 Qf4 Qe3 Qxe3 fxe3 Rad8 Kg2 Rfe8 h4 Kf8 Kg3 Ke7 Kf4 Kf6 e5+ Ke6 h5 Rxd1 Rxd1 f6 exf6 gxf6 e4 Re7 Rg1 Kf7 Rg6 Re5 Rxh6 Rb5 b3 a5 Rh7+ Kg8 Rd7 Rxh5 Rxb7 Rh2 a4 Rh5 Rb5
white,2621,1555,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nf6 Nxf6+ exf6 c3 Be7 Bd3 Be6 Ne2 Bd5 Nf4 Bd6 Nxd5 cxd5 Qb3 Qe7+ Kd1 b6 Re1 Qxe1+ Kxe1 Kd7 Qxd5
black,2233,2540,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 c3 d5 exd5 Nxd5 O-O O-O Re1 Nb6 Bb3 h6 Nxe5 Bxf2+ Kxf2 Nxe5 d4 Ng4+ Kg1 Qd6 g3 Qf6 Rf1 Qg6 h3 Ne3 Qf3 Nxf1 g4 c6 Qxf1 Be6 Bd1 Bd5 Nd2 f5 Bc2 Rae8 Bxf5 Qd6 Qf2 g6 c4 gxf5 cxd5 fxg4 Qh4 gxh3 Nb3 Qg6+ Kh1
white,2621,2206,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4 e5 Nf5 Bxf5 exf5 Nc6 g4 Be7 g5 Nd7 h4 Nd4 Be3 Nxf5 Qf3 g6 Qxb7 Nxe3 fxe3 O-O O-O-O Nc5 Qd5 Qb6 Qg2 Rab8 Bb3 Nxb3+ axb3 Qxe3+ Kb1 Qa7 h5 Kg7 hxg6 hxg6 Rdf1 Qe3 Nd5 Qxg5 Qh3 Rh8 Qf3 f5 Rhg1 e4 Qc3+ Bf6 Qc7+ Kh6 Rh1+ Qh4 Nxf6 Kg5 Rxh4 Kxh4 Qxd6 Kh3 Qf4
white,2549,1337,e4 e5 Nf3 Nc6 d4 d6 dxe5 Bg4 exd6 cxd6 Nc3 Nge7 Be2 g6 O-O Bg7 Bf4 Ne5 Nxe5 Bxe2 Qxe2 dxe5 Qb5+ Nc6 Qxb7 Qc8 Qxc8+ Rxc8 Be3 a6 Nd5 O-O c3 Rb8 b3 a5 Rfd1 h5 Rd2 f6 Rad1 Rbd8 Ne7+ Nxe7 Rxd8 f5 Rxf8+ Bxf8 Bc5 fxe4 Rd7 Kf7 Bxe7 Bxe7 Rd5 Bg5 Rxe5
