,winner,white_rating,black_rating,moves
17,black,2325,2338,d4 Nf6 Nf3 d5 g3 Bf5 Bg2 e6 O-O Be7 c4 c6 Nc3 O-O Qb3 Qb6 c5 Qxb3 axb3 Nbd7 b4 a6 Bf4 Rfe8 Nd2 Bd8 Nb3 Bc2 Na5 Bxa5 Rxa5 e5 dxe5 Nxe5 Bxe5 Rxe5 b5 d4 bxc6 bxc6 Na2 Rxe2 Bxc6 Rb8 Bf3 Rd2 c6 Bd3 c7 Rc8 Rc1 Rxb2 Rd1 Rb1 Rxb1 Bxb1 Rxa6 Ne8 Nb4 Rxc7 Nd5 Rc1+
18,white,2336,1830,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nb3 Bxf2+ Kxf2 Qh4+ g3 Qxe4 Bh3 Nge7 Bxd7+ Bxd7 Qxd7+ Kf8 Re1 Qxc2+ Kg1 Rd8 Qxc7 Rd1 Bd2 Rxe1+ Bxe1 Qe2 Nc3 Qe3+ Bf2 Qe6 Re1 Qf6 Bc5 b6 Qc8+
19,white,2334,1836,e4 e5 Nf3 Nc6 Bb5 Nd4 Nxd4 exd4 O-O c6 Ba4 Nf6 d3 d6 c3 dxc3 Nxc3 Be7 Nd5 Nxd5 exd5 Qc7 Qc2 b5 Bxb5 O-O dxc6 d5 d4 Bf6 Be3 g6 Bd3 a5 Rfd1 Ba6 Bh6 Rfd8 Qc5 Bxd3 Rxd3 Rd6 Bf4 Rad8 Rc1 g5 Bxd6 Rxd6 Qxd6
20,white,2329,2017,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 d6 e4 g6 f4 Bg7 Bb5+ Bd7 e5 Bxb5 exf6 Bxf6 Nxb5 Qa5+ Nc3 O-O Ne2 Re8 O-O Nd7 f5 Bg7 Bg5 h6 fxg6 fxg6 Bf4 Ne5 Qc2 g5 Bxe5 Rxe5 Qg6 Rae8 Rf7
21,black,1879,2326,e4 c5 Nf3 d6 Bb5+ Bd7 Qe2 Nc6 Nc3 a6 Bxc6 Bxc6 d4 cxd4 Nxd4 Bd7 O-O Nf6 e5 dxe5 Qxe5 Ng4 Qg3 Qb8 Qxb8+ Rxb8 h3 Nf6 Bf4 Rd8 Rad1 e6 Nb3 Bb4 Be5 b6 Bxf6 gxf6 Ne4 Bb5 Rxd8+ Kxd8 Rd1+ Ke7 Nd4 Rd8 c3 Bc5 Rd2 Bxd4 cxd4 Bc4 b3 Bd5 Nc3 Bb7 Kf1 Rc8 Na4 Rc1+ Ke2 b5 Nc5 Bxg2 Nxa6 Bxh3 Nc5 Bf1+ Ke3 Rc3+ Kf4 e5+ Ke4 Bg2+ Kf5 Rf3+ Kg4 f5+ Kg5 f6+ Kh6 Kf7 dxe5 Rh3#
22,white,2323,1881,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4 d5 Bd3 Bd6 O-O O-O c4 c6 Re1 Re8 Nc3 Nxc3 bxc3 Rxe1+ Qxe1 Be6 Ng5 Qf6 Rb1 dxc4 Bxh7+ Kh8 Bc2 b5 Qe4 g6 Qh4+ Kg7 Qh7+ Kf8 Ne4 Qd8 Qh8+
23,black,1622,2322,e4 Nf6 Nc3 e5 Nf3 Nc6 Bc4 Nxe4 Bxf7+ Kxf7 Nxe4 d5 Ng3 e4 Ng1 Bc5 d3 exd3 Qxd3 Bg4 h3 Qe7+ N1e2 Nb4 Qb3 Bxe2 Nxe2 Rhe8 Be3 Bxe3 fxe3 Qxe3 Rf1+ Kg6 Qxe3 Nxc2+ Kd2 Nxe3 Rf3 Nc4+ Ke1 c6 Kf2 Nd2 Rg3+ Kf6 Nf4 Ne4+
24,black,1933,2318,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 b5 Be3 Bb7 f3 Qc7 Qd2 Nf6 O-O-O Bb4 Kb1 O-O g4 Bxc3 bxc3 Rc8 g5 Nh5 f4 Bxe4 Rg1 Nc6 Be2 Nxd4 Bxd4 Nxf4 h4 e5 Be3 Nxe2 Qxe2 Qxc3 Rc1 Rc4 a3 Qb3+ Ka1 Qxa3+ Kb1 Rb4#
25,black,1983,2313,d4 e6 Bf4 c5 e3 Nf6 Nf3 Nc6 Nbd2 Be7 c3 Nh5 Bg3 O-O Bd3 f5 Ne5 Nxg3 hxg3 cxd4 exd4 Nxe5 dxe5 d6 Nc4 d5 Ne3 Bc5 Qh5 h6 Qg6 Bxe3 fxe3 Qb6 Rxh6 Qxe3+ Be2 Qxh6
26,white,2312,1663,e4 e5 Nf3 Nc6 Bb5 d6 d4 Bd7 O-O Nf6 Re1 a6 Bxc6 Bxc6 Nc3 Be7 Bg5 h6 Bh4 g5 Bg3 Nh5 Nxe5 dxe5 Qxh5 Bf6 dxe5 Be7 Rad1 Qc8 Nd5 Bxd5 exd5 Qf5 d6 Bd8 e6 Qg6 e7 Qxh5 d7#
27,black,1866,2309,Nf3 c5 d4 e6 d5 exd5 Qxd5 Nf6 Qg5 Nc6 Ne5 Nxe5 Qxe5+ Be7 Bg5 d6 Qf4 O-O e4 Nxe4 Bxe7 Qxe7 Be2 Bd7 Nd2 Nxd2 Qxd2 Rae8
28,black,1835,2307,c4 Nf6 d4 g6 Nc3 d5 e3 Bg7 Nf3 O-O cxd5 Nxd5 Bd3 c5 Be4 Nf6 Bc2 cxd4 Nxd4 e5 Nde2 Qxd1+ Bxd1 Na6 b3 Be6 O-O Rfd8 Bb2 Nb4 Nb5 Nd3 Bc3 Nd5 Bc2 Bf5 Ng3 Nxc3 Nxf5 Nxb5 Ne7+ Kf8 Bxd3 Rxd3 Rfd1 Rxd1+ Rxd1 Kxe7 a4 Nc3 Rd3 Rc8 f3 Ne2+ Kf2 Nc1 Rd5 Rc2+ Kg3 Nxb3 Rb5 Nc5 e4 Bh6 h4 b6 a5 Bf4+ Kh3 Nxe4 fxe4 Rc3+ g3 Rxg3+
29,white,2300,2041,d4 Nf6 c4 e6 Nc3 d5 Nf3 Bb4 Bg5 Nbd7 cxd5 exd5 e3 h6 Bh4 O-O Bd3 b6 O-O Bb7 Ne5 Bxc3 bxc3 Qe8 Nxd7 Nxd7 Qg4 Qe6 Bf5
30,white,2288,2148,e4 e5 Nf3 Nf6 d3 d5 exd5 Qxd5 Nc3 Bb4 Bd2 Bxc3 Bxc3 Nc6 Be2 Bg4 O-O O-O-O Nxe5 Bxe2 Qxe2 Rhe8 f4 Nd7 Qg4 Nxe5 fxe5 Kb8 Rae1 Re6 Qh4 Rde8 Rxf7 Nxe5 Rxg7 Ng6 Rxe6 Qxe6 Qe4 Qc8 Qc4 c6 Rxh7 Qg4 Qxg4
31,white,2283,1947,d4 d5 c4 e6 Nf3 Nf6 Nc3 a6 Bg5 Be7 e3 h6 Bxf6 Bxf6 cxd5 exd5 Qb3 c6 Bd3 O-O O-O Re8 Qc2 Bg4 Rac1 Bxf3 gxf3 Bh4 Bh7+ Kh8 Bf5 Nd7 f4 Nf6 Qb3 Qc7 Nxd5 Qd6 Nb6 g6 Bd3 Rad8 Qxf7 Ng4 Nc4 Qe6 Qxb7 Rd5 Qxa6 Rh5 Be2 Nxe3 fxe3 Qh3 Bxh5 gxh5 Qxc6 Rg8+ Kh1 Bg3 Qxh6#
32,white,2275,2016,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nd7 Bc4 Ngf6 Nxf6+ Nxf6 c3 Bg4 Qb3 e6 Qxb7 Qc8 Ba6
33,black,1909,2271,e4 c5 d4 cxd4 c3 Nf6 e5 Nd5 cxd4 d6 Nf3 Nc6 Bb5 Qa5+ Nc3 Nxc3 Bxc6+ bxc6 bxc3 Qxc3+ Bd2 Qd3 exd6 exd6 Qa4 Qa6 Qc2 Be7 Rc1 Bd7 Ng5 Bxg5 Bxg5 O-O Qb3 Rae8+ Be3 d5 h4 Bf5 h5 Re7 h6 g5 f3 Rfe8 Kf2 Rxe3
34,white,2263,2006,d4 Nf6 c4 e6 Nc3 Bb4 Nf3 O-O Qd3 d5 Bg5 h6 Bxf6 Qxf6 O-O-O Rd8 Kb1 dxc4 Qxc4 Bxc3 Qxc3 c5 Qxc5 Nc6 e4 Bd7 Bd3 Rac8 e5 Qf4 Rhe1 Qg4 Rg1 b6 Qa3 a5 h3 Qh5 g4 Qxh3 Bf1
35,black,1293,2263,e4 Nf6 h3 Nxe4 Qf3 Nf6 g4 e6 g5 Nd5 h4 Nc6 c3 Bd6 Qd1 O-O d3 b6 c4 Nde7 h5 Bb7 g6 Nd4 gxf7+ Rxf7 Rh4 Bf3 Nxf3 Nxf3+
36,white,2257,1922,e4 c5 Nf3 Nc6 Nc3 g6 d4 cxd4 Nxd4 Bg7 Be3 e6 Bc4 Nge7 O-O O-O Qd2 f5 f3 f4 Bf2 Kh8 Nxc6 Nxc6 Rfd1 a6 Bc5 Rf7 Bxe6 Rf6 Bxd7 Bxd7 Qxd7 Qxd7 Rxd7 b5 Nd5 Rd8 Rxd8+ Nxd8 Nxf6 Bxf6 Rd1 Kg7 e5 Bg5 Rd7+ Kh6 Bf8+ Kh5 Rxh7+ Bh6 h4 Ne6 Rxh6#
37,black,2191,2239,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 b5 a3 Bb7 Bd3 Qb6 Be3 Bc5 Be2 Nc6 Nf3 Bxe3 fxe3 Qxe3 Qd6 Nf6 Rd1 Rd8 h3 Nxe4 Nxe4 Qxe4 Rd2 Ne7 O-O Nf5 Qe5 Qxe5 Nxe5 d6 g4 dxe5 Rxd8+ Kxd8 gxf5 exf5 Rxf5 f6 c4 bxc4 Bxc4 Ke7 b3 Rb8 Rh5 Rh8 Rh4 f5 Kf2 Kf6 Be2 a5 Rc4 Bd5 Rc5 Bxb3 Rxa5 Rc8 h4 Rc2 Ra6+ Ke7 Ke3 Rxe2+
38,black,1380,2239,d4 d5 c4 e6 e3 Nf6 Nc3 Be7 Nf3 O-O Be2 dxc4 Ne5 a6 Bf3 c5 Nxc4 cxd4 Ne2 e5 Qd3 Bb4+ Kf1 Re8 a3 e4 Bxe4 Nxe4 axb4 Nxf2 Qxd4 Nxh1 Qxd8 Rxd8 Nc3 Be6 Na5 b6 Nb7 Rd7 Kg1 Ng3 Nd6 Rxd6 hxg3 Rd3 Kf1 Nd7 Ke2 Ne5 Kf2 Rd7 e4 Nd3+ Kg1 Nxc1 Rxc1 Rd4 Rc2 Rad8 b5 a5 g4 Rd2 Rxd2 Rxd2 Kh2 Rxb2 g5 Rb3 Ne2 a4 Nd4 a3 Nc2 a2 e5 Rb1
39,black,1796,2235,d4 Nf6 c4 e6 a3 d5 Nc3 Be7 Bg5 O-O Bxf6 Bxf6 e3 c5 cxd5 cxd4 exd4 exd5 g3 Re8+ Nge2 Nc6 Qd3 Nxd4 O-O-O Bf5 Qxf5 Nxf5 Rxd5 Nd6 Nb5 Bxb2+ Kxb2 Nc4+
40,black,1879,2230,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Nxc6 bxc6 Bd2 Rb8 Qc1 Bc5 Be2 O-O O-O d5 Bf3 Ba6 Re1 Qb6 Be3 d4 Na4 dxe3 Nxb6 exf2+ Kh1 fxe1=Q+ Qxe1 axb6 b3 Rfd8 Rd1 Rxd1 Qxd1 Bb4 Qa1 Re8 c3 Bc5 Qb2 Bd3 b4 Be3 a4 Rd8 g3 Nxe4 Bxe4 Bxe4+ Qg2 Rd1#
41,white,2217,2059,d4 e6 c4 f5 g3 Nf6 Bg2 Be7 Nf3 O-O O-O d6 Nc3 Qe8 b3 Nbd7 Bb2 Qh5 Qc2 g5 Nb5 Bd8 d5 e5 Qxf5 h6 h4 Nc5 Qc2 Nfe4 Nxe5 Nxg3 fxg3 Rxf1+ Rxf1 dxe5 Ba3 Nd7 Qf5 Nf6 Qxe5 Bd7 Nxc7 Bxc7 Qxc7 Qg6 Be7 Bf5 Qe5
42,black,2336,2185,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 b5 a3 Bb7 Be2 d6 O-O Nf6 Bd3 Nbd7 Re1 Be7 Bg5 O-O Nf3 Ng4 Bf4 Bf6 Bxd6 Nxf2 Kxf2 Qb6+ Re3 Qxd6 e5 Qc5 exf6 Nxf6 h3 e5 b4 Qb6 Nxe5 Rae8 Ke2 Qc7 Qf1 Rxe5 Rxe5 Qxe5+ Kd2 Rc8 Ne2 Nd5 Rb1 Qg5+ Ke1 Ne3 Qf2 Nxg2+ Kd1 Ne3+ Ke1 Re8 Rb3 Bd5 Rc3 Nc4 Qf5 Rxe2+ Kxe2 Qe3+ Kf1 Nd2#
43,white,2175,1936,e4 g6 d4 d6 Nc3 Bg7 f4 Nf6 Nf3 O-O Bd3 Nbd7 e5 dxe5 fxe5 Ne8 O-O c5 Be2 cxd4 Qxd4 Qb6 Qxb6 Nxb6 Bg5 f6 exf6 exf6 Bf4 Nd7 Rad1 Nc5 Nd4 a6 Bc4+ Kh8 b4 b5 Bd5 Nb7 a4 Ned6 Bxd6 Nxd6 Bxa8 bxa4 Nxa4 Nb5 c4 Nxd4 Rxd4 f5 Rd3 f4 Nc5 Bf5 Be4 Bg4 Rc1 Be2 Rd2 Bg4 Nxa6 f3 Rcc2 fxg2 Nc5 Bh6 Rd3 Rf5
44,white,2161,1984,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Qf6 c3 Nge7 Bc4 d6 O-O Qg6 Nxc6 Nxc6 Bxc5 dxc5 Qf3 Ne5 Bb5+ c6 Qf4 f6 Be2 Bh3 Qg3 Qxg3 hxg3 Be6 f4 Nc4 Bxc4 Bxc4 Rd1 Ke7 Nd2 Be6 Kf2 a5 Nf3 Rad8 Rxd8 Rxd8 Rh1 h6 a3 b5 Ke3 Bc4 Rh5 Rd3+ Kf2 Kd6 Rh1 b4 e5+ fxe5 Nxe5 Rd2+ Ke3 Re2+ Kf3 Rxe5 fxe5+ Kxe5 Re1+ Kf5 g4+ Kf6 Kf4 g5+ Ke3 Be6 Rf1+ Kg6 Rd1 Bd5 g3 Kf6 Rf1+
45,white,2150,1915,d4 Nf6 c4 g6 Nc3 Bg7 Nf3 d6 h3 Nbd7 Bf4 O-O e3 c6 Be2 Re8 O-O e5 dxe5 dxe5 Nxe5 Nh5 Bxh5 Nxe5 Be2 Be6 Qb3 Qb6 Rfc1 Rad8 Ne4 f5 Nc3 Nd3 Bxd3 Rxd3 Qc2 Red8 Bg5 Rd2 Bxd8 Qxd8 Rd1 Rxd1+ Rxd1 Qb6 b3 Qb4 Ne2 a5 Nf4 Bf7 Rd8+ Bf8 Rd7 g5 Qxf5
46,black,1976,2135,e4 c5 c3 d5 exd5 Qxd5 d4 g6 Bb5+ Bd7 Bxd7+ Nxd7 Nf3 cxd4 cxd4 Qe6+ Be3 Bh6 d5 Qa6 Nc3 Bg7 Bd4 Ngf6 Qe2 Qxe2+ Kxe2 O-O Rhe1 Rfe8 Kf1 Rac8 Bxa7 b6 Na4 Ra8 Bxb6 Rxa4 Bc7
47,black,1830,2126,c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 e5 Bg2 Nb6 d3 Be7 b3 O-O Bb2 Re8 Nf3 Nc6 O-O Bf8 Rc1 Nd4 e3 Nxf3+ Bxf3 c6 a3 Bh3 Re1 Be7 Bg2 Bxg2 Kxg2 Qd7 Ne4 Rad8 d4 Qc8 Nc5 exd4 exd4 Nd5 Qf3 Bg5 Rxe8+ Rxe8 Rc2 Re3 Qh5 Qf5 Re2 g6 g4 Nf4+ Kf1 Qb1+
48,black,2001,2105,c4 Nf6 Nc3 e5 g3 d5 cxd5 Nxd5 Bg2 Nb6 Nf3 Nc6 e3 Bd6 d4 O-O O-O Bg4 Qd3 Be6 b3 Be7 Rd1 exd4 Nxd4 Nxd4 Qxd4 Qxd4 exd4 c6 Bb2 Rfd8 Rd3 Rd7 Rad1 Rad8 a4 Bxb3 R1d2 Bb4 Re2 Bc4 Rde3 Bxe2 Nxe2 Nxa4
49,white,2104,1344,e4 e5 Nf3 d6 d4 Bg4 dxe5 dxe5 Qxd8+ Kxd8 Nxe5 Be6 Bf4 f6 Nf3 Nc6 Nc3 Nge7 O-O-O+ Bd7 Nb5 Ne5 Bxe5 fxe5 Nxe5 c6 Rxd7+ Kc8 Nd6+ Kb8 Rxb7#
50,black,1960,2260,Nf3 d5 c4 c6 d4 e6 g3 Bd6 Bg2 Nd7 Qc2 f5 O-O Ngf6 b3 Qe7 Bb2 O-O Ne5 Ne4 e3 Nxe5 dxe5 Bc5 Nc3 a5 Ne2 Bd7 Nf4 b5 Nd3 Ba7 Rac1 bxc4 bxc4 Rfb8 cxd5 cxd5 Bd4 Bb5 Rfd1 Bxd4 exd4 Bxd3 Rxd3 Qd7 Qc6 Qxc6 Rxc6 Rb1+ Bf1 Rab8 f3 Ng5 h4 Nh3+ Kg2 R8b2+ Kxh3 Rxf1 g4 f4 g5 Rg1
51,black,1969,2247,Nf3 c5 g3 d5 Bg2 Nf6 c4 d4 O-O Nc6 d3 e5 e3 Bd6 exd4 cxd4 a3 a5 Re1 O-O Bg5 h6 Bxf6 Qxf6 Nbd2 Qd8 Qc2 Bf5 c5 Bc7 Nc4 Re8 Nfd2 Qe7 Qb3 Reb8 Be4 Be6 Qb5 Na7 Qa4 Qxc5 b4 Qb5 Qc2 axb4 axb4 Nc6 Na3 Qxb4 Reb1 Qc3 Qxc3 dxc3 Ndc4 Nd4 Bxb7 c2 Rb2
52,white,2469,2216,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Nb3 Bb4 Bg5 O-O Qf3 Nd4 Nxd4 exd4 a3 dxc3 axb4 cxb2 Rb1 d5 Bxf6 gxf6 exd5 Re8+ Be2 Qe7 Rxb2 Qe5 Qg3+ Qxg3 hxg3 Bf5 c3 Rac8 Kd2 Red8 c4 b5 Rh4 bxc4 Bxc4 Rc7 Rb3 Be6 Rd4 Rxc4 Rxc4 Rxd5+ Rd3 Rxd3+ Kxd3 Bxc4+ Kxc4
53,black,2220,2464,e4 Nf6 Nc3 e5 Nf3 Nc6 d4 exd4 Nxd4 Bb4 Nxc6 Bxc3+ bxc3 bxc6 Bd3 O-O Bg5 h6 Bh4 g5 Bg3 Nxe4 Bxe4 Qe7 Qe2 Re8 O-O Qxe4 Qh5 Re6 f4 Ba6 Rfe1 Be2 Qh3 Qe3+ Bf2 Qxh3 gxh3 gxf4 Rab1 Rg6+
54,black,1973,2462,d4 d5 c4 e6 Nf3 Nf6 Nc3 Bb4 Bg5 h6 Bxf6 Qxf6 e3 c5 dxc5 Bxc3+ bxc3 Qxc3+ Nd2 Na6 Rc1 Qa5 cxd5 Nxc5 dxe6 Bxe6 Be2 Ne4 Bf3 Nxd2 Qxd2 Qxd2+ Kxd2 Rd8+ Kc3 b6 Bc6+ Ke7 a4 Rc8 Kb4 Rhd8 Bb5 a5+ Ka3 Rd2 Rxc8 Ra2#
55,white,2460,2240,d4 Nf6 Bg5 g6 Bxf6 exf6 e4 d5 exd5 Qxd5 Nf3 Bb4+ c3 Bd6 h3 Nc6 Bd3 O-O O-O Qh5 Nbd2 f5 d5 Ne5 Nxe5 Qxd1 Raxd1 Bxe5 Nc4 Bf6 f4 Bd7 Ne5 Rad8 Rfe1 Bxe5 fxe5 Rfe8 g3 Re7 Re3 Rde8 Rde1 Kg7 b3 h6 c4 b6 Kg2 a5 h4 Kh7 Kf3 Kg7 a3 Kh7 Kf4 Kg7 a4 Bc8 Bf1 Bd7 Bg2 Kf8 Rd3 Kg7 d6 cxd6 Rxd6 f6 exf6+
56,black,2104,2456,e4 Nf6 Nc3 e5 Bc4 Nxe4 Nxe4 d5 Bd3 dxe4 Bxe4 f5 Bd3 Nc6 Ne2 a6 a3 Be6 b4 Qg5 c4 Qxg2 Rg1 Qxh2 Nc3 Qxg1+
