p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
r,.,.,q,.,r,k,.,.,b,.,n,b,p,p,p,p,p,.,.,p,.,.,.,.,.,p,.,.,.,.,.,P,.,B,P,.,.,.,.,.,P,B,.,P,N,.,.,.,.,.,.,.,P,P,P,.,.,R,Q,.,R,K,.,white,dxc5,d4c5
r,.,.,q,.,r,k,.,.,b,.,.,b,p,p,p,p,p,.,.,p,.,.,.,.,.,n,.,.,.,.,.,P,.,B,.,.,.,.,.,.,P,B,.,P,N,.,.,.,.,.,.,.,P,P,P,.,.,R,Q,.,R,K,.,white,Qd4,d1d4
r,.,.,.,.,r,k,.,.,b,.,.,b,p,p,p,p,p,.,.,p,.,.,.,.,.,n,.,.,.,.,.,P,.,B,q,.,.,.,.,.,P,B,.,P,N,.,.,.,.,.,.,.,P,P,P,.,.,R,.,.,R,K,.,white,Nxd4,f3d4
r,.,.,.,.,r,k,.,.,b,.,.,b,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,B,N,n,.,.,.,.,P,B,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,R,.,.,R,K,.,white,Bb2,c3b2
r,.,.,.,.,r,k,.,.,b,.,.,b,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,B,N,.,.,.,.,.,P,.,.,P,.,.,.,.,B,.,n,.,P,P,P,.,.,R,.,.,R,K,.,white,Rfd1,f1d1
r,.,.,.,.,r,k,.,.,b,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,b,B,N,.,.,.,.,.,P,.,.,P,.,.,.,.,B,.,n,.,P,P,P,.,.,R,R,.,.,K,.,white,Bc3,b2c3
r,.,.,.,.,r,k,.,.,b,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,B,N,.,.,.,.,.,P,b,.,P,.,.,.,.,.,.,n,.,P,P,P,.,.,R,R,.,.,K,.,white,Rxc3,c1c3
r,.,.,.,.,r,k,.,.,b,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,n,N,.,.,.,.,.,P,R,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,R,.,.,K,.,white,Rxc4,c3c4
.,.,r,.,.,r,k,.,.,b,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,R,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,R,.,.,K,.,white,Rdc1,d1c1
.,.,.,.,.,r,k,.,.,b,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,r,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,R,.,.,.,K,.,white,Rxc4,c1c4
.,.,r,.,.,.,k,.,.,b,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,R,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,.,.,.,K,.,white,Rxc8+,c4c8
.,.,b,.,.,.,k,.,.,.,.,.,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,.,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,.,.,.,K,.,white,Kf1,g1f1
.,.,.,.,.,.,k,.,.,.,.,b,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,.,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,.,.,K,.,.,white,Ke1,f1e1
.,.,.,.,.,k,.,.,.,.,.,b,.,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,.,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,.,K,.,.,.,white,Kd2,e1d2
.,.,.,.,.,.,.,.,.,.,.,b,k,p,p,p,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,P,.,.,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,K,.,P,P,P,.,.,.,.,.,.,.,.,white,Kc3,d2c3
.,.,.,.,.,.,.,.,.,.,.,b,.,p,p,p,p,p,.,k,p,.,.,.,.,.,.,.,.,.,.,.,P,.,.,N,.,.,.,.,.,P,K,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,.,.,.,.,.,white,Kc4,c3c4
.,.,.,.,.,.,.,.,.,.,.,b,.,p,p,p,p,p,.,k,.,.,.,.,.,.,.,.,p,.,.,.,P,.,K,N,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,.,P,P,P,.,.,.,.,.,.,.,.,white,Ne2,d4e2
.,.,.,.,.,.,.,.,.,.,.,b,.,p,p,p,p,.,.,k,.,.,.,.,.,p,.,.,p,.,.,.,P,.,K,.,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,N,P,P,P,.,.,.,.,.,.,.,.,white,Kb4,c4b4
.,.,.,.,.,.,.,.,.,.,.,b,.,p,p,p,p,.,.,k,.,.,.,.,.,.,.,.,p,.,.,.,p,K,.,.,.,.,.,.,.,P,.,.,P,.,.,.,.,.,.,.,N,P,P,P,.,.,.,.,.,.,.,.,white,bxa4,b3a4
.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,p,p,.,b,k,.,.,.,.,.,.,.,.,p,.,.,.,P,K,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,N,P,P,P,.,.,.,.,.,.,.,.,white,f3,f2f3
.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,p,.,b,k,.,.,.,.,.,.,.,.,p,p,.,.,P,K,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,N,.,P,P,.,.,.,.,.,.,.,.,white,Nc3,e2c3
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,b,k,.,.,.,.,.,.,.,.,p,p,p,.,P,K,.,.,.,.,.,.,.,.,N,.,P,P,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Ka5,b4a5
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,b,.,.,.,.,.,K,.,k,.,p,p,p,.,P,.,.,.,.,.,.,.,.,.,N,.,P,P,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Kxa6,a5a6
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,K,.,b,.,.,.,.,.,.,.,.,.,p,p,p,.,P,k,.,.,.,.,.,.,.,.,N,.,P,P,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Kb6,a6b6
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,K,.,.,.,.,.,.,.,.,.,.,p,p,p,.,P,k,.,.,.,.,.,.,.,.,N,.,P,P,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Nb5,c3b5
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,K,.,.,.,.,.,.,.,N,.,.,p,p,p,.,k,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Nd6,b5d6
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,K,.,N,.,.,.,.,.,.,.,.,.,p,p,.,k,.,.,.,p,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,fxe4,f3e4
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,K,.,N,.,.,.,.,.,.,.,.,.,.,p,.,k,.,.,.,p,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Kc5,b6c5
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,.,.,N,.,.,.,.,.,.,K,.,.,.,p,.,.,.,.,.,p,.,.,.,.,k,.,.,P,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Kd4,c5d4
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,.,.,N,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,K,p,.,.,.,.,.,.,.,P,.,.,.,.,.,k,.,.,.,P,P,.,.,.,.,.,.,.,.,white,Nxe4,d6e4
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.,.,p,.,.,.,.,K,N,.,.,.,.,.,.,.,P,.,.,.,.,.,k,.,.,.,P,P,.,.,.,.,.,.,.,.,white,g3,g2g3
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.,.,p,.,.,.,.,K,N,.,.,.,.,.,.,.,P,.,P,.,.,.,.,.,.,.,.,P,.,.,.,k,.,.,.,.,white,Nd6,e4d6
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,p,.,.,.,.,.,.,p,.,.,.,.,K,.,.,.,.,.,.,.,.,P,.,P,.,.,.,.,.,k,.,.,P,.,.,.,.,.,.,.,.,white,Nf7,d6f7
b,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.,.,p,.,.,.,.,K,.,.,.,.,.,.,.,.,P,k,P,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,white,Nxh6,f7h6
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,.,p,.,.,.,.,K,.,.,.,.,.,.,.,.,P,.,P,.,.,.,.,.,.,.,k,P,.,.,.,.,.,.,.,.,white,h4,h2h4
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,p,.,.,.,.,P,.,P,.,.,.,.,.,.,.,k,.,.,.,.,.,.,.,.,.,white,gxh4,g3h4
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,P,.,.,.,.,P,.,.,k,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Nf5,h6f5
b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,K,.,.,k,P,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Ke5,d4e5
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,b,.,.,.,.,.,.,.,.,.,K,N,.,.,.,.,.,.,.,.,k,P,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Ne7,f5e7
.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,b,.,.,.,.,.,k,P,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Ng6,e7g6
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,.,K,.,.,k,b,.,.,.,.,.,.,P,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Nf4+,g6f4
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,K,.,.,.,b,.,.,.,.,N,.,k,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Kd4,e5d4
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,b,.,.,K,.,N,k,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Nd3,f4d3
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,b,.,.,K,.,.,.,.,.,.,.,N,P,k,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Ne5+,d3e5
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,b,.,.,K,.,.,.,.,.,.,.,.,P,.,k,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Nd3,e5d3
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,b,.,.,K,.,.,k,.,.,.,.,N,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Nc5,d3c5
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,d4,d2d4
r,n,b,q,k,b,.,r,p,p,p,p,p,p,p,p,.,.,.,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,.,P,P,P,P,R,N,B,Q,K,B,N,R,white,c4,c2c4
r,n,b,q,k,b,.,r,p,p,p,p,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,P,P,P,P,R,N,B,Q,K,B,N,R,white,Nf3,g1f3
r,n,b,q,k,b,.,r,p,p,p,.,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,N,.,.,P,P,.,.,P,P,P,P,R,N,B,Q,K,B,.,R,white,Nc3,b1c3
r,n,b,q,k,.,.,r,p,p,p,.,b,p,p,p,.,.,.,.,p,n,.,.,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,.,.,.,N,.,.,N,.,.,P,P,.,.,P,P,P,P,R,.,B,Q,K,B,.,R,white,Bg5,c1g5
r,n,b,q,k,.,.,r,p,p,p,.,b,p,p,.,.,.,.,.,p,n,.,p,.,.,.,p,.,.,B,.,.,.,P,P,.,.,.,.,.,.,N,.,.,N,.,.,P,P,.,.,P,P,P,P,R,.,.,Q,K,B,.,R,white,Bh4,g5h4
r,n,b,q,.,r,k,.,p,p,p,.,b,p,p,.,.,.,.,.,p,n,.,p,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,B,.,.,N,.,.,N,.,.,P,P,.,.,P,P,P,P,R,.,.,Q,K,B,.,R,white,e3,e2e3
r,n,b,q,.,r,k,.,p,.,p,.,b,p,p,.,.,p,.,.,p,n,.,p,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,B,.,.,N,.,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,B,.,R,white,cxd5,c4d5
r,n,b,q,.,r,k,.,p,.,p,.,b,p,p,.,.,p,.,.,.,n,.,p,.,.,.,p,.,.,.,.,.,.,.,P,.,.,.,B,.,.,N,.,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,B,.,R,white,Bd3,f1d3
r,n,.,q,.,r,k,.,p,b,p,.,b,p,p,.,.,p,.,.,.,n,.,p,.,.,.,p,.,.,.,.,.,.,.,P,.,.,.,B,.,.,N,B,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,.,.,R,white,O-O,e1g1
r,.,.,q,.,r,k,.,p,b,p,n,b,p,p,.,.,p,.,.,.,n,.,p,.,.,.,p,.,.,.,.,.,.,.,P,.,.,.,B,.,.,N,B,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,.,R,K,.,white,Qc2,d1c2
r,.,.,q,.,r,k,.,.,b,p,n,b,p,p,.,p,p,.,.,.,n,.,p,.,.,.,p,.,.,.,.,.,.,.,P,.,.,.,B,.,.,N,B,P,N,.,.,P,P,Q,.,.,P,P,P,R,.,.,.,.,R,K,.,white,Rfd1,f1d1
r,.,.,q,.,r,k,.,.,b,.,n,b,p,p,.,p,p,.,.,.,n,.,p,.,.,p,p,.,.,.,.,.,.,.,P,.,.,.,B,.,.,N,B,P,N,.,.,P,P,Q,.,.,P,P,P,R,.,.,R,.,.,K,.,white,dxc5,d4c5
r,.,.,q,.,r,k,.,.,b,.,n,b,p,p,.,p,.,.,.,.,n,.,p,.,.,p,p,.,.,.,.,.,.,.,.,.,.,.,B,.,.,N,B,P,N,.,.,P,P,Q,.,.,P,P,P,R,.,.,R,.,.,K,.,white,Bf5,d3f5
r,.,.,q,.,r,k,.,.,b,.,.,b,p,p,.,p,n,.,.,.,n,.,p,.,.,p,p,.,B,.,.,.,.,.,.,.,.,.,B,.,.,N,.,P,N,.,.,P,P,Q,.,.,P,P,P,R,.,.,R,.,.,K,.,white,Rac1,a1c1
r,.,.,.,.,r,k,.,.,b,q,.,b,p,p,.,p,n,.,.,.,n,.,p,.,.,p,p,.,B,.,.,.,.,.,.,.,.,.,B,.,.,N,.,P,N,.,.,P,P,Q,.,.,P,P,P,.,.,R,R,.,.,K,.,white,Bg3,h4g3
r,.,.,.,.,r,k,.,.,b,q,.,.,p,p,.,p,n,.,b,.,n,.,p,.,.,p,p,.,B,.,.,.,.,.,.,.,.,.,.,.,.,N,.,P,N,B,.,P,P,Q,.,.,P,P,P,.,.,R,R,.,.,K,.,white,Ne2,c3e2
r,.,.,.,.,r,k,.,.,b,q,.,.,p,p,.,p,n,.,.,.,n,.,p,.,.,p,p,.,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,N,b,.,P,P,Q,.,N,P,P,P,.,.,R,R,.,.,K,.,white,hxg3,h2g3
r,.,.,.,.,r,k,.,.,b,q,n,.,p,p,.,p,.,.,.,.,n,.,p,.,.,p,p,.,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,P,P,Q,.,N,P,P,.,.,.,R,R,.,.,K,.,white,Nf4,e2f4
r,.,.,.,.,r,k,.,.,b,q,n,.,p,.,.,p,.,.,.,.,n,.,p,.,.,p,p,.,B,p,.,.,.,.,.,.,N,.,.,.,.,.,.,P,N,P,.,P,P,Q,.,.,P,P,.,.,.,R,R,.,.,K,.,white,Ne2,f4e2
r,.,.,.,.,r,k,.,.,b,.,n,.,p,.,.,p,q,.,.,.,n,.,p,.,.,p,p,.,B,p,.,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,P,P,Q,.,N,P,P,.,.,.,R,R,.,.,K,.,white,Nc3,e2c3
r,.,.,.,.,r,k,.,.,.,.,n,.,p,.,.,p,q,b,.,.,n,.,p,.,.,p,p,.,B,p,.,.,.,.,.,.,.,.,.,.,.,N,.,P,N,P,.,P,P,Q,.,.,P,P,.,.,.,R,R,.,.,K,.,white,Bxd7,f5d7
r,.,.,.,.,r,k,.,.,.,.,n,.,p,.,.,p,q,b,.,.,.,.,p,.,.,p,p,.,.,p,.,.,.,.,.,.,.,.,.,.,.,N,.,P,N,P,.,P,P,Q,.,.,P,P,.,.,.,R,R,.,.,K,.,white,Nxd5,c3d5
r,.,.,.,.,r,k,.,.,.,.,n,.,p,.,.,p,q,.,.,.,.,.,p,.,.,p,b,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,P,P,Q,.,.,P,P,.,.,.,R,R,.,.,K,.,white,Rxd5,d1d5
r,.,.,r,.,.,k,.,.,.,.,n,.,p,.,.,p,q,.,.,.,.,.,p,.,.,p,R,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,P,P,Q,.,.,P,P,.,.,.,R,.,.,.,K,.,white,Rcd1,c1d1
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,d4,d2d4
r,n,b,q,k,b,.,r,p,p,p,p,p,p,p,p,.,.,.,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,.,P,P,P,P,R,N,B,Q,K,B,N,R,white,c4,c2c4
r,n,b,q,k,b,.,r,p,p,p,p,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,P,P,P,P,R,N,B,Q,K,B,N,R,white,Nf3,g1f3
r,n,b,q,k,b,.,r,p,p,p,.,.,p,p,p,.,.,.,.,p,n,.,.,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,N,.,.,P,P,.,.,P,P,P,P,R,N,B,Q,K,B,.,R,white,Nc3,b1c3
r,n,b,q,k,.,.,r,p,p,p,.,b,p,p,p,.,.,.,.,p,n,.,.,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,.,.,.,N,.,.,N,.,.,P,P,.,.,P,P,P,P,R,.,B,Q,K,B,.,R,white,Bg5,c1g5
r,n,b,q,.,r,k,.,p,p,p,.,b,p,p,p,.,.,.,.,p,n,.,.,.,.,.,p,.,.,B,.,.,.,P,P,.,.,.,.,.,.,N,.,.,N,.,.,P,P,.,.,P,P,P,P,R,.,.,Q,K,B,.,R,white,e3,e2e3
r,n,b,q,.,r,k,.,p,p,p,.,b,p,p,.,.,.,.,.,p,n,.,p,.,.,.,p,.,.,B,.,.,.,P,P,.,.,.,.,.,.,N,.,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,B,.,R,white,Bh4,g5h4
r,n,b,q,.,r,k,.,p,.,p,.,b,p,p,.,.,p,.,.,p,n,.,p,.,.,.,p,.,.,.,.,.,.,P,P,.,.,.,B,.,.,N,.,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,B,.,R,white,cxd5,c4d5
r,n,b,q,.,r,k,.,p,.,p,.,b,p,p,.,.,p,.,.,.,n,.,p,.,.,.,p,.,.,.,.,.,.,.,P,.,.,.,B,.,.,N,.,P,N,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,B,.,R,white,Ne5,f3e5
r,n,.,q,.,r,k,.,p,b,p,.,b,p,p,.,.,p,.,.,.,n,.,p,.,.,.,p,N,.,.,.,.,.,.,P,.,.,.,B,.,.,N,.,P,.,.,.,P,P,.,.,.,P,P,P,R,.,.,Q,K,B,.,R,white,f4,f2f4
r,.,.,q,.,r,k,.,p,b,p,n,b,p,p,.,.,p,.,.,.,n,.,p,.,.,.,p,N,.,.,.,.,.,.,P,.,P,.,B,.,.,N,.,P,.,.,.,P,P,.,.,.,.,P,P,R,.,.,Q,K,B,.,R,white,Bd3,f1d3
r,.,.,q,.,r,k,.,.,b,p,n,b,p,p,.,p,p,.,.,.,n,.,p,.,.,.,p,N,.,.,.,.,.,.,P,.,P,.,B,.,.,N,B,P,.,.,.,P,P,.,.,.,.,P,P,R,.,.,Q,K,.,.,R,white,Qf3,d1f3
r,.,.,q,.,r,k,.,.,b,.,n,b,p,p,.,p,p,.,.,.,n,.,p,.,.,p,p,N,.,.,.,.,.,.,P,.,P,.,B,.,.,N,B,P,Q,.,.,P,P,.,.,.,.,P,P,R,.,.,.,K,.,.,R,white,O-O,e1g1
r,.,.,q,.,r,k,.,.,b,.,n,b,p,p,.,p,p,.,.,.,n,.,p,.,.,.,p,N,.,.,.,.,.,p,P,.,P,.,B,.,.,N,B,P,Q,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,Bf5,d3f5
r,.,.,q,.,r,k,.,.,b,.,.,b,p,p,.,p,p,.,.,.,n,.,p,.,.,.,p,n,B,.,.,.,.,p,P,.,P,.,B,.,.,N,.,P,Q,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,dxe5,d4e5
r,.,.,q,.,r,k,.,.,b,.,n,b,p,p,.,p,p,.,.,.,.,.,p,.,.,.,p,P,B,.,.,.,.,p,.,.,P,.,B,.,.,N,.,P,Q,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,Bxe7,h4e7
r,.,.,.,.,r,k,.,.,b,.,n,q,p,p,.,p,p,.,.,.,.,.,p,.,.,.,p,P,B,.,.,.,.,p,.,.,P,.,.,.,.,N,.,P,Q,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,Nxd5,c3d5
r,.,.,.,.,r,k,.,.,.,.,n,q,p,p,.,p,p,.,.,.,.,.,p,.,.,.,b,P,B,.,.,.,.,p,.,.,P,.,.,.,.,.,.,P,Q,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,Qxd5,f3d5
r,.,.,.,.,r,k,.,.,.,.,.,q,p,p,.,p,p,.,.,.,.,.,p,.,.,n,Q,P,B,.,.,.,.,p,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,Qxc4,d5c4
r,.,.,r,.,.,k,.,.,.,.,.,q,p,p,.,p,p,.,.,.,.,.,p,.,.,n,.,P,B,.,.,.,.,Q,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,.,.,.,.,P,P,R,.,.,.,.,R,K,.,white,Rad1,a1d1
r,.,.,r,.,.,k,.,.,.,.,.,q,p,p,.,p,.,.,.,.,.,.,p,.,p,n,.,P,B,.,.,.,.,Q,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,.,.,.,.,P,P,.,.,.,R,.,R,K,.,white,Qc2,c4c2
r,.,.,r,.,.,k,.,.,.,.,.,q,p,p,.,p,.,.,.,n,.,.,p,.,p,.,.,P,B,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,Q,.,.,.,P,P,.,.,.,R,.,R,K,.,white,Rd3,d1d3
r,.,.,.,.,.,k,.,.,.,.,.,q,p,p,.,p,.,.,.,n,.,.,p,.,p,.,.,P,B,.,.,.,.,.,.,.,P,.,.,.,.,.,r,P,.,.,.,P,P,Q,.,.,.,P,P,.,.,.,.,.,R,K,.,white,Qxd3,c2d3
r,.,.,.,.,.,k,.,.,.,.,.,q,p,p,.,p,.,.,.,.,.,.,p,.,p,n,.,P,B,.,.,.,.,.,.,.,P,.,.,.,.,.,Q,P,.,.,.,P,P,.,.,.,.,P,P,.,.,.,.,.,R,K,.,white,Qd6,d3d6
r,.,.,.,.,.,k,.,.,.,.,.,.,p,p,.,p,.,.,q,.,.,.,p,.,p,n,.,P,B,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,.,.,.,.,P,P,.,.,.,.,.,R,K,.,white,exd6,e5d6
.,.,.,r,.,.,k,.,.,.,.,.,.,p,p,.,p,.,.,P,.,.,.,p,.,p,n,.,.,B,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,.,.,.,.,P,P,.,.,.,.,.,R,K,.,white,Rd1,f1d1
.,.,.,r,.,k,.,.,.,.,.,.,.,p,p,.,p,.,.,P,.,.,.,p,.,p,n,.,.,B,.,.,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,P,P,.,.,.,.,P,P,.,.,.,R,.,.,K,.,white,e4,e3e4
